timestamp,x (in radians/s),y (in radians/s),z (in radians/s)
1426433323.014488,-0.197874,-0.069829,0.072081
1426433323.024495,-0.201871,-0.044406,0.089217
1426433323.034501,-0.197434,-0.024287,0.098842
1426433323.044508,-0.183491,-0.012702,0.104133
1426433323.054514,-0.165343,-0.016082,0.112548
1426433323.064509,-0.149380,-0.026885,0.118820
1426433323.074515,-0.139744,-0.025935,0.125162
1426433323.084535,-0.138637,-0.016346,0.124124
1426433323.094541,-0.140671,-0.005735,0.129491
1426433323.104548,-0.141651,0.002741,0.134847
1426433323.114554,-0.139460,0.011228,0.136993
1426433323.124561,-0.134122,0.018683,0.133797
1426433323.134567,-0.129843,0.023993,0.132728
1426433323.144574,-0.130904,0.015419,0.139093
1426433323.154580,-0.135107,0.004652,0.153982
1426433323.164586,-0.142370,0.019463,0.168970
1426433323.174592,-0.144329,0.042844,0.175444
1426433323.184600,-0.142107,0.058797,0.176550
1426433323.194606,-0.136735,0.072642,0.173375
1426433323.204614,-0.126028,0.088586,0.170180
1426433323.214620,-0.112138,0.099166,0.169081
1426433323.224625,-0.086649,0.088379,0.167854
1426433323.234631,-0.053911,0.033854,0.169641
1426433323.244624,-0.028612,-0.016358,0.170415
1426433323.254630,-0.016063,-0.061171,0.171270
1426433323.264663,-0.012970,-0.083575,0.173311
1426433323.274669,-0.007709,-0.091030,0.170066
1426433323.284662,0.007052,-0.108085,0.162485
1426433323.294668,0.023999,-0.111287,0.152809
1426433323.304682,0.044231,-0.091037,0.138936
1426433323.314688,0.067725,-0.065531,0.130386
1426433323.324702,0.082814,-0.018675,0.121948
1426433323.334708,0.089480,0.060270,0.104076
1426433323.344691,0.082271,0.140410,0.080955
1426433323.354697,0.068602,0.202452,0.061000
1426433323.364710,0.056873,0.220766,0.046215
1426433323.374716,0.043916,0.180329,0.050405
1426433323.384731,0.022376,0.093924,0.077908
1426433323.394737,-0.020390,-0.005311,0.123571
1426433323.404745,-0.095007,-0.080892,0.165212
1426433323.414751,-0.199133,-0.084856,0.197654
1426433323.424758,-0.336892,-0.024854,0.244312
1426433323.434764,-0.504044,0.079815,0.315748
1426433323.444770,-0.675302,0.212189,0.388359
1426433323.454776,-0.790554,0.295461,0.438175
1426433323.464783,-0.806503,0.264435,0.462637
1426433323.474789,-0.722913,0.148830,0.472487
1426433323.484796,-0.552331,-0.004400,0.465812
1426433323.494802,-0.313734,-0.147139,0.434349
1426433323.504810,-0.049546,-0.256839,0.384768
1426433323.514816,0.186182,-0.302413,0.329153
1426433323.524822,0.375387,-0.282732,0.271854
1426433323.534828,0.496665,-0.220048,0.213970
1426433323.544849,0.545106,-0.078406,0.185450
1426433323.554855,0.531388,0.124942,0.202153
1426433323.564844,0.473506,0.362153,0.269220
1426433323.574850,0.385156,0.619391,0.376957
1426433323.584871,0.310496,0.855300,0.479233
1426433323.594877,0.273327,0.984843,0.543715
1426433323.604884,0.253451,1.004881,0.576881
1426433323.614890,0.238208,0.937851,0.578866
1426433323.624873,0.215123,0.813466,0.568993
1426433323.634879,0.188487,0.630585,0.552558
1426433323.644906,0.157345,0.412665,0.527515
1426433323.654912,0.111226,0.193846,0.494027
1426433323.664912,0.052476,0.002791,0.460693
1426433323.674918,-0.014569,-0.152045,0.431777
1426433323.684931,-0.084529,-0.261119,0.408348
1426433323.694937,-0.147772,-0.306320,0.384031
1426433323.704941,-0.190422,-0.282413,0.359838
1426433323.714947,-0.212554,-0.212887,0.342079
1426433323.724955,-0.210111,-0.131818,0.327428
1426433323.734961,-0.187407,-0.040184,0.309518
1426433323.744967,-0.150845,0.051349,0.293668
1426433323.754973,-0.111070,0.131048,0.288408
1426433323.764980,-0.079890,0.191595,0.286322
1426433323.774986,-0.061644,0.229902,0.278905
1426433323.784999,-0.058329,0.265109,0.270488
1426433323.795005,-0.071023,0.299384,0.257889
1426433323.804997,-0.091197,0.331592,0.243191
1426433323.815003,-0.111349,0.368060,0.228508
1426433323.825007,-0.120942,0.387427,0.213715
