timestamp,x (in G's),y (in G's),z (in G's)
1426433583.957398,-0.094711,-0.193558,-1.075516
1426433583.967224,-0.087357,-0.201797,-1.072464
1426433583.977063,-0.100937,-0.173737,-0.934036
1426433583.986877,-0.035812,-0.137665,-1.132492
1426433583.996712,-0.016541,-0.112411,-1.286377
1426433584.006531,-0.000458,-0.075180,-1.397491
1426433584.016359,-0.012558,-0.033936,-1.429886
1426433584.026184,-0.028915,0.002869,-1.364380
1426433584.036011,-0.011642,0.033554,-1.279968
1426433584.045837,0.026627,0.018127,-1.188400
1426433584.055653,0.044373,-0.017197,-1.100586
1426433584.065481,0.008636,-0.038315,-1.024384
1426433584.075319,-0.030640,-0.048813,-0.970993
1426433584.085123,-0.028519,-0.038635,-0.931656
1426433584.094956,0.000854,-0.025955,-0.901489
1426433584.104769,0.040436,-0.016174,-0.879074
1426433584.114619,0.060883,-0.019623,-0.874176
1426433584.124443,0.073685,-0.023773,-0.887817
1426433584.134249,0.085419,-0.015594,-0.914948
1426433584.144072,0.087494,0.009750,-0.945038
1426433584.153898,0.097778,0.009735,-1.015594
1426433584.163722,0.084137,0.054321,-0.980392
1426433584.173545,0.068054,0.096115,-0.953171
1426433584.183367,0.055984,0.111282,-0.930313
1426433584.193189,0.049210,0.106766,-0.913483
1426433584.203009,0.050888,0.073944,-0.903488
1426433584.212845,0.051102,0.034134,-0.899078
1426433584.222655,0.054565,0.006958,-0.889954
1426433584.232479,0.060074,-0.005219,-0.880081
1426433584.242301,0.066132,-0.014236,-0.882141
1426433584.252130,0.068146,-0.024475,-0.891998
1426433584.261954,0.069733,-0.031311,-0.902374
1426433584.271778,0.059525,-0.047623,-0.906281
1426433584.281601,0.043411,-0.062424,-0.903702
1426433584.291422,0.025940,-0.071564,-0.892227
1426433584.301246,0.014633,-0.080688,-0.879059
1426433584.311071,0.006729,-0.093491,-0.866821
1426433584.320894,-0.002670,-0.105667,-0.863281
1426433584.330718,-0.009277,-0.110306,-0.869614
1426433584.340550,-0.015015,-0.110199,-0.880737
1426433584.350373,-0.018219,-0.108841,-0.891388
1426433584.360190,-0.023224,-0.108398,-0.901352
1426433584.370026,-0.029160,-0.114075,-0.915649
1426433584.379839,-0.029373,-0.116669,-0.929016
1426433584.389648,-0.030258,-0.112030,-0.939865
1426433584.399488,-0.028458,-0.105850,-0.945053
1426433584.409302,-0.026154,-0.107697,-0.950836
1426433584.419137,-0.022369,-0.114838,-0.951508
1426433584.428960,-0.018478,-0.127975,-0.948532
1426433584.438785,-0.010605,-0.134018,-0.946228
1426433584.448609,0.001282,-0.139603,-0.944763
1426433584.458436,0.013062,-0.145203,-0.947876
1426433584.468262,0.018738,-0.148422,-0.950821
1426433584.478086,0.024994,-0.155167,-0.951553
1426433584.487899,0.031693,-0.159943,-0.948914
1426433584.497736,0.032379,-0.167969,-0.945480
1426433584.507550,0.029205,-0.178909,-0.933899
1426433584.517396,0.027573,-0.192978,-0.922104
1426433584.527202,0.029984,-0.211777,-0.916763
1426433584.537038,0.033417,-0.222046,-0.929092
1426433584.546877,0.036438,-0.222610,-0.960571
1426433584.556688,0.039459,-0.210770,-1.009857
1426433584.566510,0.046051,-0.186966,-1.058960
1426433584.576336,0.054428,-0.148544,-1.112823
1426433584.586160,0.059021,-0.114914,-1.162003
1426433584.595984,0.057709,-0.095703,-1.216354
1426433584.605811,0.063766,-0.077530,-1.260941
1426433584.615637,0.068619,-0.060333,-1.268097
1426433584.625460,0.064621,-0.068329,-1.203125
1426433584.635286,0.050980,-0.105957,-1.106003
1426433584.645119,0.035141,-0.144104,-1.030319
1426433584.654935,0.025681,-0.163208,-1.012894
1426433584.664759,0.026138,-0.173203,-1.045273
1426433584.674586,0.019058,-0.162460,-1.098480
1426433584.684410,0.000992,-0.137283,-1.173721
1426433584.694236,-0.017395,-0.102875,-1.253143
1426433584.704061,-0.030258,-0.066498,-1.304993
1426433584.713885,-0.047760,-0.041382,-1.319641
1426433584.723709,-0.074005,-0.037231,-1.284866
1426433584.733533,-0.097046,-0.040833,-1.219269
1426433584.743357,-0.110367,-0.036057,-1.140457
1426433584.753180,-0.113251,-0.032150,-1.057907
1426433584.763003,-0.111771,-0.036789,-0.979813
1426433584.772822,-0.103333,-0.054047,-0.907684
1426433584.782651,-0.101028,-0.077499,-0.848648
1426433584.792476,-0.094727,-0.094238,-0.814926
1426433584.802300,-0.099594,-0.088837,-0.801590
1426433584.812122,-0.102875,-0.068588,-0.800995
1426433584.821958,-0.094971,-0.044083,-0.827896
1426433584.831757,-0.075256,-0.024338,-0.881577
1426433584.841598,-0.052353,-0.019974,-0.937286
1426433584.851410,-0.028854,-0.010727,-0.989288
1426433584.861248,-0.012878,-0.005066,-1.032928
1426433584.871064,-0.005478,0.001709,-1.073532
1426433584.880897,-0.005630,0.015182,-1.107285
1426433584.890717,-0.005020,0.033081,-1.119873
1426433584.900548,-0.004166,0.042801,-1.105530
1426433584.910365,-0.007629,0.035492,-1.062012
1426433584.920193,-0.015396,0.009003,-0.988815
1426433584.930019,-0.017929,-0.021347,-0.912231
1426433584.939843,-0.019669,-0.041290,-0.853287
1426433584.949672,-0.023712,-0.066559,-0.812134
1426433584.959495,-0.026855,-0.081421,-0.772827
1426433584.969325,-0.030746,-0.100983,-0.736893
1426433584.979145,-0.029297,-0.122925,-0.730286
1426433584.988957,-0.027710,-0.141678,-0.750641
1426433584.998792,-0.024551,-0.151413,-0.787750
1426433585.008618,-0.023056,-0.149902,-0.829834
1426433585.018443,-0.020584,-0.146011,-0.876801
1426433585.028254,-0.021301,-0.132446,-0.928589
1426433585.038092,-0.030426,-0.121658,-0.969498
1426433585.047905,-0.039200,-0.105865,-0.990738
1426433585.057740,-0.041428,-0.093109,-0.999252
1426433585.067553,-0.046402,-0.087952,-0.990326
1426433585.077388,-0.051575,-0.100220,-0.989731
1426433585.087202,-0.057526,-0.107330,-0.995117
1426433585.097037,-0.059448,-0.108688,-0.995529
1426433585.106865,-0.057373,-0.103210,-0.985977
1426433585.116685,-0.055176,-0.110168,-0.978500
1426433585.126516,-0.055099,-0.120224,-0.975052
1426433585.136331,-0.050079,-0.135696,-0.977295
1426433585.146157,-0.041412,-0.145096,-0.986526
1426433585.155980,-0.036697,-0.151855,-0.992706
1426433585.165805,-0.037766,-0.162216,-0.988327
1426433585.175629,-0.031265,-0.174637,-0.981430
1426433585.185453,-0.023392,-0.197845,-0.974792
1426433585.195278,-0.008957,-0.217865,-0.979355
1426433585.205103,0.001709,-0.224670,-1.007919
1426433585.214918,0.003662,-0.214935,-1.039566
1426433585.224752,0.011337,-0.194412,-1.083435
1426433585.234584,0.020157,-0.176254,-1.126556
1426433585.244385,0.029846,-0.159927,-1.167099
1426433585.254225,0.034988,-0.141266,-1.200790
1426433585.264033,0.029068,-0.130707,-1.218552
1426433585.273885,0.017639,-0.121994,-1.212982
1426433585.283710,0.006668,-0.119446,-1.184479
1426433585.293533,-0.004135,-0.122360,-1.131943
1426433585.303337,-0.012054,-0.139969,-1.067810
1426433585.313165,-0.001785,-0.151352,-1.023132
1426433585.323001,0.006348,-0.153412,-1.022980
1426433585.332827,0.012268,-0.149216,-1.073410
1426433585.342651,0.018417,-0.116379,-1.150421
1426433585.352462,0.016617,-0.049881,-1.243408
1426433585.362295,0.000275,0.005966,-1.322220
1426433585.372118,-0.019974,0.066879,-1.364548
1426433585.381925,-0.026901,0.096497,-1.355911
1426433585.391765,-0.030319,0.094345,-1.287979
1426433585.401582,-0.031586,0.063919,-1.186844
1426433585.411397,-0.036652,0.018494,-1.084656
1426433585.421231,-0.043549,-0.022141,-0.986221
1426433585.431070,-0.041641,-0.049942,-0.892166
1426433585.440881,-0.031906,-0.079666,-0.807907
1426433585.450696,-0.021454,-0.110931,-0.747131
1426433585.460527,-0.009140,-0.134903,-0.722229
1426433585.470363,0.014038,-0.138962,-0.728760
1426433585.480178,0.043167,-0.116028,-0.779617
1426433585.490016,0.069595,-0.075684,-0.860489
1426433585.499829,0.082672,-0.036438,-0.925812
1426433585.509669,0.088623,-0.009476,-0.963089
1426433585.519483,0.090988,0.034119,-1.000702
1426433585.529292,0.098404,0.072311,-1.029648
1426433585.539134,0.101303,0.088013,-1.046295
1426433585.548960,0.101089,0.090668,-1.058090
1426433585.558793,0.098984,0.082062,-1.064835
1426433585.568620,0.097916,0.066696,-1.062164
1426433585.578431,0.099472,0.044022,-1.041763
1426433585.588268,0.105103,0.020386,-1.013855
1426433585.598077,0.106888,-0.008774,-0.979065
