timestamp,x (in radians/s),y (in radians/s),z (in radians/s)
1426433261.236703,-0.097809,0.010288,0.435917
1426433261.246717,-0.043830,-0.031428,0.421673
1426433261.256723,0.000711,-0.073271,0.426636
1426433261.266707,0.017510,-0.124529,0.430643
1426433261.276713,0.006321,-0.203116,0.413408
1426433261.286722,-0.023460,-0.329220,0.364175
1426433261.296728,-0.084285,-0.462439,0.298040
1426433261.306750,-0.193569,-0.513483,0.244126
1426433261.316756,-0.345713,-0.466650,0.228005
1426433261.326764,-0.510122,-0.345346,0.228157
1426433261.336770,-0.623566,-0.225229,0.209955
1426433261.346776,-0.625784,-0.163995,0.155875
1426433261.356782,-0.513479,-0.183238,0.094573
1426433261.366790,-0.321627,-0.296892,0.057051
1426433261.376796,-0.116086,-0.467253,0.038435
1426433261.386803,0.018668,-0.558566,0.038529
1426433261.396809,0.011008,-0.460972,0.084662
1426433261.406816,-0.156190,-0.223577,0.199114
1426433261.416822,-0.450798,0.021604,0.356809
1426433261.426829,-0.764432,0.160855,0.465282
1426433261.436835,-0.978666,0.147359,0.447144
1426433261.446841,-1.016162,0.067730,0.331035
1426433261.456847,-0.865558,-0.021108,0.172442
1426433261.466854,-0.569111,-0.117185,0.014162
1426433261.476860,-0.230858,-0.185983,-0.126139
1426433261.486868,0.061026,-0.201515,-0.239421
1426433261.496874,0.249234,-0.144391,-0.313625
1426433261.506881,0.319759,-0.040051,-0.353023
1426433261.516887,0.301067,0.062380,-0.361110
1426433261.526895,0.243135,0.148759,-0.337118
1426433261.536901,0.193624,0.193402,-0.297337
1426433261.546907,0.175845,0.202747,-0.261024
1426433261.556913,0.186548,0.181174,-0.238793
1426433261.566920,0.220479,0.151137,-0.236931
1426433261.576926,0.263874,0.116907,-0.247905
1426433261.586934,0.302042,0.096523,-0.255614
1426433261.596940,0.325509,0.084542,-0.241931
1426433261.606946,0.321539,0.090632,-0.207826
1426433261.616952,0.292133,0.108514,-0.166104
1426433261.626959,0.239304,0.119025,-0.118966
1426433261.636965,0.169439,0.115698,-0.062209
1426433261.646973,0.088982,0.115576,-0.000065
1426433261.656979,0.009522,0.128401,0.044019
1426433261.666986,-0.041483,0.132854,0.054934
1426433261.676992,-0.059732,0.135290,0.033742
1426433261.686999,-0.034471,0.126937,0.000588
1426433261.697005,0.024853,0.104462,-0.024266
1426433261.707011,0.101272,0.083958,-0.042811
1426433261.717017,0.170241,0.058131,-0.057078
1426433261.727020,0.207308,0.039943,-0.071162
1426433261.737026,0.212433,0.021939,-0.085085
1426433261.747045,0.181343,0.003089,-0.099896
1426433261.757051,0.127927,-0.009243,-0.114573
1426433261.767030,0.070320,-0.008771,-0.129188
1426433261.777036,0.019120,-0.006215,-0.142764
1426433261.787049,-0.021462,-0.004756,-0.159589
1426433261.797055,-0.041841,0.005199,-0.186069
1426433261.807078,-0.050496,0.020431,-0.214718
1426433261.817084,-0.049395,0.061117,-0.238010
1426433261.827101,-0.044903,0.110113,-0.241066
1426433261.837107,-0.041466,0.140879,-0.230337
1426433261.847090,-0.040245,0.149251,-0.215412
1426433261.857096,-0.045525,0.143865,-0.205822
1426433261.867117,-0.052003,0.126862,-0.205846
1426433261.877123,-0.058583,0.094979,-0.209111
1426433261.887129,-0.059893,0.062062,-0.218793
1426433261.897135,-0.054812,0.028032,-0.227446
1426433261.907143,-0.044402,-0.004963,-0.236123
1426433261.917149,-0.031778,-0.029501,-0.239459
1426433261.927156,-0.027584,-0.043381,-0.238461
1426433261.937162,-0.031844,-0.049787,-0.234203
1426433261.947169,-0.036107,-0.055118,-0.231006
1426433261.957175,-0.040405,-0.062548,-0.231008
1426433261.967182,-0.036145,-0.059358,-0.233148
1426433261.977188,-0.020208,-0.055119,-0.240666
1426433261.987189,0.009475,-0.061559,-0.253609
1426433261.997195,0.046477,-0.093602,-0.266673
1426433262.007209,0.085539,-0.148082,-0.273433
1426433262.017215,0.108688,-0.203617,-0.271602
1426433262.027229,0.097975,-0.231347,-0.260994
1426433262.037235,0.053485,-0.201361,-0.251093
1426433262.047242,-0.013059,-0.111596,-0.241951
1426433262.057248,-0.073034,0.011137,-0.231669
1426433262.067231,-0.110580,0.134725,-0.212980
1426433262.077237,-0.109921,0.225017,-0.188203
1426433262.087259,-0.066947,0.270385,-0.169106
1426433262.097265,0.024303,0.218799,-0.176118
1426433262.107283,0.157387,0.062861,-0.211357
1426433262.117289,0.299557,-0.163260,-0.263904
1426433262.127270,0.421650,-0.361584,-0.315196
1426433262.137276,0.488233,-0.425668,-0.337029
1426433262.147301,0.463465,-0.288217,-0.327938
