timestamp,x (in G's),y (in G's),z (in G's)
1426433322.939698,0.004425,-0.198303,-0.961517
1426433322.949522,0.006256,-0.194992,-0.961700
1426433322.959347,0.007019,-0.193268,-0.961121
1426433322.969172,0.012100,-0.199417,-0.966354
1426433322.978997,0.013779,-0.202042,-0.967819
1426433322.988820,0.012634,-0.203812,-0.961075
1426433322.998644,0.011856,-0.199997,-0.955551
1426433323.008469,0.005264,-0.192841,-0.961014
1426433323.018292,-0.000198,-0.182739,-0.968689
1426433323.028122,-0.006790,-0.175888,-0.977768
1426433323.037946,-0.014832,-0.168213,-0.985428
1426433323.047761,-0.017120,-0.166199,-0.982239
1426433323.057585,-0.021133,-0.165070,-0.972946
1426433323.067397,-0.019516,-0.168213,-0.964310
1426433323.077233,-0.014038,-0.175674,-0.966904
1426433323.087051,-0.014191,-0.179535,-0.969116
1426433323.096882,-0.012177,-0.183334,-0.966156
1426433323.106718,-0.014145,-0.189621,-0.960968
1426433323.116532,-0.013367,-0.198120,-0.952820
1426433323.126358,-0.007874,-0.211227,-0.950684
1426433323.136179,0.000351,-0.217300,-0.947769
1426433323.145999,-0.010422,-0.226654,-0.940338
1426433323.155827,-0.022156,-0.227356,-0.936340
1426433323.165642,-0.032318,-0.226364,-0.935577
1426433323.175477,-0.041046,-0.223190,-0.941772
1426433323.185291,-0.050018,-0.223663,-0.952728
1426433323.195127,-0.058350,-0.226883,-0.974503
1426433323.204941,-0.059296,-0.231552,-1.001740
1426433323.214776,-0.052231,-0.247101,-1.036102
1426433323.224590,-0.043427,-0.255264,-1.046707
1426433323.234426,-0.038849,-0.268951,-1.056458
1426433323.244251,-0.043716,-0.281372,-1.067230
1426433323.254075,-0.053253,-0.284454,-1.083374
1426433323.263900,-0.056274,-0.282928,-1.103806
1426433323.273725,-0.062759,-0.278824,-1.122269
1426433323.283550,-0.066223,-0.270920,-1.138153
1426433323.293375,-0.064529,-0.268082,-1.166351
1426433323.303200,-0.065720,-0.258377,-1.195786
1426433323.313024,-0.055191,-0.234680,-1.218033
1426433323.322848,-0.043808,-0.206573,-1.242615
1426433323.332673,-0.031876,-0.187210,-1.276398
1426433323.342504,-0.014664,-0.160919,-1.314789
1426433323.352321,0.005493,-0.132050,-1.354233
1426433323.362147,0.020996,-0.095779,-1.381638
1426433323.371971,0.024612,-0.047272,-1.393372
1426433323.381796,0.024841,-0.023254,-1.391495
