timestamp,x (in G's),y (in G's),z (in G's)
1426433224.375567,0.035324,-0.204544,-0.973068
1426433224.385392,0.030716,-0.209915,-0.990036
1426433224.395215,0.025299,-0.212387,-0.977219
1426433224.405040,0.017059,-0.207886,-0.980423
1426433224.414864,0.024780,-0.193344,-1.018906
1426433224.424687,0.035904,-0.168091,-1.132462
1426433224.434512,0.018478,-0.146011,-1.278793
1426433224.444336,-0.011093,-0.128326,-1.455185
1426433224.454160,-0.012985,-0.106216,-1.618942
1426433224.463986,-0.010376,-0.085495,-1.698227
1426433224.473813,0.007156,-0.091019,-1.636169
1426433224.483636,0.031418,-0.100357,-1.473846
1426433224.493461,0.071747,-0.128387,-1.336731
1426433224.503293,0.096954,-0.171890,-1.280426
1426433224.513107,0.131912,-0.206116,-1.308640
1426433224.522932,0.166672,-0.218246,-1.349670
1426433224.532756,0.153671,-0.219116,-1.372101
1426433224.542579,0.132538,-0.192795,-1.365067
1426433224.552402,0.124146,-0.157715,-1.332535
1426433224.562226,0.105804,-0.154190,-1.290253
1426433224.572049,0.090103,-0.188141,-1.252167
1426433224.581873,0.090164,-0.233383,-1.207611
1426433224.591699,0.092026,-0.270508,-1.144394
1426433224.601523,0.092361,-0.293961,-1.057617
1426433224.611348,0.085403,-0.306229,-0.964127
1426433224.621173,0.062790,-0.311478,-0.880661
1426433224.630996,0.039200,-0.304657,-0.811462
1426433224.640820,0.025406,-0.297440,-0.746368
1426433224.650650,0.011459,-0.290558,-0.705566
1426433224.660467,-0.001877,-0.273773,-0.690506
1426433224.670303,-0.017502,-0.259201,-0.692657
1426433224.680124,-0.029785,-0.246094,-0.712875
1426433224.689926,-0.036896,-0.230240,-0.733414
1426433224.699765,-0.041672,-0.213120,-0.732864
1426433224.709594,-0.045319,-0.199509,-0.724304
1426433224.719414,-0.046616,-0.183395,-0.710464
1426433224.729231,-0.044846,-0.179932,-0.700058
1426433224.739063,-0.042587,-0.175934,-0.692719
1426433224.748878,-0.039917,-0.172485,-0.697693
1426433224.758710,-0.031616,-0.169830,-0.736420
1426433224.768539,-0.019547,-0.162521,-0.800034
1426433224.778359,-0.008102,-0.151047,-0.865891
1426433224.788190,0.001343,-0.139557,-0.909409
1426433224.798004,0.013062,-0.129913,-0.938446
1426433224.807835,0.011673,-0.127914,-0.942581
1426433224.817652,0.002502,-0.127930,-0.927353
1426433224.827463,-0.000748,-0.122314,-0.902695
1426433224.837299,-0.004593,-0.119476,-0.867752
1426433224.847105,-0.012009,-0.123459,-0.834824
1426433224.856940,-0.013992,-0.129745,-0.791458
1426433224.866752,-0.012955,-0.143402,-0.756744
1426433224.876585,-0.009613,-0.156540,-0.721039
1426433224.886408,-0.014328,-0.163101,-0.692337
1426433224.896230,-0.010712,-0.165359,-0.661667
1426433224.906054,-0.005096,-0.168915,-0.631195
1426433224.915875,0.004852,-0.173599,-0.610092
1426433224.925699,0.008194,-0.183075,-0.599899
1426433224.935526,0.012955,-0.185883,-0.597778
1426433224.945340,0.015350,-0.183105,-0.610718
1426433224.955180,0.012115,-0.178589,-0.637756
1426433224.964976,0.009811,-0.170898,-0.677933
1426433224.974817,0.012589,-0.161911,-0.724609
1426433224.984645,0.008469,-0.156403,-0.796387
1426433224.994456,0.001526,-0.155014,-0.877640
1426433225.004280,-0.009018,-0.156036,-0.936523
1426433225.014100,-0.014954,-0.152695,-0.981293
1426433225.023943,-0.022293,-0.133759,-1.017059
1426433225.033753,-0.029755,-0.110291,-1.058167
1426433225.043584,-0.020142,-0.110962,-1.125320
1426433225.053403,0.011475,-0.098175,-1.243439
1426433225.063234,0.035553,-0.087570,-1.379089
1426433225.073052,0.037247,-0.073181,-1.489777
1426433225.082892,0.026794,-0.050308,-1.538452
1426433225.092715,0.004242,-0.043808,-1.592026
1426433225.102523,-0.037231,-0.042877,-1.560989
1426433225.112348,-0.050659,-0.028000,-1.495407
1426433225.122174,-0.066299,-0.030350,-1.413437
1426433225.131998,-0.071823,-0.066574,-1.347626
1426433225.141823,-0.067810,-0.104294,-1.315536
1426433225.151648,-0.057816,-0.130325,-1.281052
1426433225.161489,-0.049316,-0.138138,-1.268234
1426433225.171296,-0.035095,-0.127075,-1.284454
1426433225.181121,-0.018402,-0.108047,-1.325195
1426433225.190959,0.001816,-0.088287,-1.375305
1426433225.200770,0.016510,-0.083191,-1.403336
1426433225.210581,0.022659,-0.089813,-1.404816
1426433225.220417,0.031326,-0.090530,-1.381042
1426433225.230260,0.041351,-0.101669,-1.329727
1426433225.240061,0.051468,-0.128433,-1.251450
1426433225.249885,0.058762,-0.157623,-1.148132
1426433225.259719,0.070831,-0.185349,-1.042542
1426433225.269541,0.079239,-0.203949,-0.948944
1426433225.279368,0.080292,-0.219131,-0.866623
1426433225.289205,0.079422,-0.224152,-0.796906
1426433225.299016,0.073914,-0.227554,-0.743713
1426433225.308847,0.069809,-0.222565,-0.713852
1426433225.318665,0.067062,-0.212601,-0.699478
1426433225.328490,0.061905,-0.195328,-0.694962
1426433225.338312,0.050735,-0.179337,-0.710800
1426433225.348149,0.039124,-0.160522,-0.732513
1426433225.357960,0.027115,-0.144073,-0.755768
1426433225.367797,0.020859,-0.130829,-0.772354
1426433225.377608,0.018097,-0.121368,-0.773697
1426433225.387422,0.018280,-0.121658,-0.773605
1426433225.397258,0.026794,-0.120544,-0.767380
1426433225.407070,0.034393,-0.126541,-0.760483
1426433225.416906,0.042664,-0.130875,-0.753082
1426433225.426730,0.053391,-0.116730,-0.766235
1426433225.436555,0.051819,-0.109329,-0.776550
1426433225.446379,0.047409,-0.107162,-0.802750
1426433225.456204,0.049179,-0.085617,-0.819092
1426433225.466029,0.038834,-0.077072,-0.820267
1426433225.475853,0.030502,-0.075455,-0.811523
1426433225.485677,0.027481,-0.062088,-0.804321
1426433225.495503,0.024048,-0.053131,-0.787796
