timestamp,x (in G's),y (in G's),z (in G's)
1426433306.579335,0.010056,-0.140976,-1.405609
1426433306.589154,0.043228,-0.172592,-1.410049
1426433306.598991,0.068466,-0.192657,-1.478897
1426433306.608799,0.087051,-0.203430,-1.565475
1426433306.618633,0.090744,-0.196411,-1.608826
1426433306.628443,0.091309,-0.189026,-1.599823
1426433306.638257,0.088455,-0.192139,-1.533508
1426433306.648077,0.085770,-0.217819,-1.409256
1426433306.657898,0.081924,-0.259613,-1.253632
1426433306.667729,0.074692,-0.298004,-1.123230
1426433306.677541,0.073822,-0.317520,-1.015335
1426433306.687369,0.076782,-0.323074,-0.952682
1426433306.697184,0.076935,-0.319122,-0.944199
1426433306.707012,0.075226,-0.297043,-0.983978
1426433306.716825,0.060822,-0.254440,-1.036224
1426433306.726660,0.044418,-0.212051,-1.071976
1426433306.736465,0.029861,-0.174973,-1.076782
1426433306.746291,0.016663,-0.161057,-1.048477
1426433306.756106,-0.000900,-0.152023,-0.988174
1426433306.765924,-0.014313,-0.148849,-0.922485
1426433306.775748,-0.018463,-0.149551,-0.854706
1426433306.785575,-0.021805,-0.157547,-0.799545
1426433306.795399,-0.020126,-0.165955,-0.759552
1426433306.805217,-0.008102,-0.172531,-0.735428
1426433306.815042,0.005478,-0.173843,-0.722168
1426433306.824853,0.021790,-0.170441,-0.730057
1426433306.834687,0.043793,-0.162659,-0.752548
1426433306.844497,0.063782,-0.158722,-0.784653
1426433306.854332,0.081039,-0.153946,-0.821594
1426433306.864144,0.089035,-0.148315,-0.838196
1426433306.873977,0.091370,-0.145096,-0.844727
1426433306.883812,0.093811,-0.140289,-0.833817
1426433306.893620,0.096161,-0.135803,-0.814560
1426433306.903427,0.102203,-0.138153,-0.800735
1426433306.913264,0.100937,-0.140427,-0.783203
1426433306.923085,0.097366,-0.136597,-0.763443
1426433306.932907,0.096939,-0.134094,-0.750916
1426433306.942729,0.091812,-0.131714,-0.737045
1426433306.952559,0.090820,-0.127808,-0.722504
1426433306.962373,0.089523,-0.123871,-0.710114
1426433306.972195,0.089493,-0.120987,-0.709290
1426433306.982016,0.089905,-0.119400,-0.709351
1426433306.991839,0.090607,-0.127426,-0.712021
1426433307.001662,0.091171,-0.137650,-0.723877
1426433307.011477,0.089218,-0.150146,-0.733536
1426433307.021304,0.088013,-0.141647,-0.740921
1426433307.031132,0.073990,-0.134216,-0.756516
1426433307.040953,0.053314,-0.124557,-0.782715
1426433307.050774,0.041122,-0.119904,-0.822556
1426433307.060597,0.029938,-0.124237,-0.871643
1426433307.070418,0.031418,-0.142044,-0.955017
1426433307.080246,0.029434,-0.162674,-1.021423
1426433307.090061,0.017517,-0.183731,-1.050781
1426433307.099885,0.020615,-0.200912,-1.056412
1426433307.109710,0.044220,-0.198166,-1.068802
1426433307.119531,0.074890,-0.182831,-1.135757
1426433307.129355,0.088821,-0.174179,-1.276474
1426433307.139178,0.085068,-0.157639,-1.455902
1426433307.148999,0.068527,-0.134033,-1.614166
1426433307.158821,0.045120,-0.118530,-1.692398
1426433307.168644,0.040070,-0.115341,-1.660980
1426433307.178467,0.040359,-0.111893,-1.566422
1426433307.188287,0.044022,-0.115936,-1.494400
1426433307.198109,0.054810,-0.131256,-1.491882
1426433307.207924,0.058014,-0.141098,-1.522476
1426433307.217754,0.056641,-0.144730,-1.539627
1426433307.227584,0.046448,-0.155502,-1.501953
1426433307.237397,0.019638,-0.160736,-1.408096
1426433307.247208,-0.006546,-0.162109,-1.291534
1426433307.257033,-0.022934,-0.175735,-1.187393
1426433307.266866,-0.027756,-0.192764,-1.112137
1426433307.276685,-0.025085,-0.210464,-1.064682
1426433307.286515,-0.024841,-0.223312,-1.026260
1426433307.296327,-0.023636,-0.222519,-0.999130
1426433307.306159,-0.019775,-0.213760,-0.983734
1426433307.315971,-0.014328,-0.205841,-0.968704
1426433307.325790,-0.008408,-0.214157,-0.949753
1426433307.335614,-0.002106,-0.221527,-0.930313
1426433307.345419,-0.007263,-0.230103,-0.903503
1426433307.355258,-0.012527,-0.233185,-0.869629
1426433307.365067,-0.028229,-0.232559,-0.838379
1426433307.374897,-0.042969,-0.224976,-0.805374
1426433307.384733,-0.081299,-0.203339,-0.787201
1426433307.394542,-0.039322,-0.212524,-0.781708
1426433307.404353,-0.033630,-0.200073,-0.721039
1426433307.414186,-0.048874,-0.188705,-0.684235
1426433307.424009,-0.049103,-0.178894,-0.667755
1426433307.433837,-0.045425,-0.176346,-0.666367
1426433307.443652,-0.040100,-0.174835,-0.675613
1426433307.453475,-0.041962,-0.169113,-0.685852
1426433307.463296,-0.047470,-0.153992,-0.702866
1426433307.473115,-0.044357,-0.136612,-0.728958
1426433307.482937,-0.043549,-0.121063,-0.757507
1426433307.492758,-0.046707,-0.106491,-0.787735
1426433307.502578,-0.048111,-0.090912,-0.820297
1426433307.512398,-0.050262,-0.076584,-0.842255
1426433307.522218,-0.051758,-0.064697,-0.849609
1426433307.532039,-0.052017,-0.052414,-0.826797
1426433307.541859,-0.057404,-0.050369,-0.792633
1426433307.551682,-0.057175,-0.050339,-0.727524
1426433307.561502,-0.049927,-0.057465,-0.662567
1426433307.571326,-0.039948,-0.075562,-0.608673
1426433307.581147,-0.029282,-0.095642,-0.571014
1426433307.590967,-0.019623,-0.103165,-0.539124
1426433307.600790,-0.009125,-0.118637,-0.527496
1426433307.610620,-0.005630,-0.135239,-0.536865
1426433307.620433,0.000717,-0.154251,-0.562408
1426433307.630255,0.003967,-0.167694,-0.600967
1426433307.640077,0.001694,-0.167206,-0.652588
1426433307.649897,-0.018570,-0.170044,-0.709595
1426433307.659719,-0.035919,-0.180527,-0.764221
1426433307.669543,-0.042679,-0.184601,-0.824371
1426433307.679363,-0.049667,-0.178101,-0.896561
1426433307.689194,-0.062119,-0.152100,-0.987885
1426433307.699007,-0.066528,-0.111099,-1.109848
1426433307.708817,-0.067444,-0.069244,-1.268890
1426433307.718648,-0.055359,-0.030212,-1.458633
1426433307.728470,-0.043030,0.007660,-1.647034
1426433307.738294,-0.034317,0.050751,-1.805786
1426433307.748123,-0.019287,0.055771,-1.883575
1426433307.757938,0.010254,0.024017,-1.817551
1426433307.767746,0.052582,0.004227,-1.691971
1426433307.777583,0.064178,-0.029236,-1.592346
1426433307.787400,0.064087,-0.091629,-1.563324
1426433307.797226,0.069702,-0.134399,-1.587952
1426433307.807053,0.077087,-0.149689,-1.582596
1426433307.816870,0.079620,-0.157059,-1.532883
1426433307.826690,0.077805,-0.171646,-1.456680
1426433307.836499,0.075989,-0.196304,-1.360367
1426433307.846329,0.075516,-0.222153,-1.268341
1426433307.856155,0.083588,-0.231552,-1.206268
1426433307.865973,0.085815,-0.241470,-1.180496
1426433307.875797,0.087112,-0.235092,-1.188858
1426433307.885635,0.088791,-0.222961,-1.207840
1426433307.895433,0.088608,-0.209854,-1.197189
1426433307.905279,0.086441,-0.200897,-1.160095
1426433307.915076,0.081375,-0.192184,-1.091553
1426433307.924924,0.075180,-0.193207,-1.017090
1426433307.934733,0.068573,-0.203217,-0.936646
1426433307.944561,0.062042,-0.216476,-0.865921
1426433307.954391,0.058594,-0.221817,-0.802628
1426433307.964213,0.047165,-0.220230,-0.757034
1426433307.974017,0.037582,-0.206818,-0.723068
1426433307.983865,0.029404,-0.194977,-0.688370
1426433307.993667,0.026031,-0.189041,-0.667877
1426433308.003491,0.025970,-0.185715,-0.656982
1426433308.013319,0.028244,-0.183380,-0.651443
1426433308.023144,0.035660,-0.181564,-0.654785
1426433308.032965,0.040588,-0.178253,-0.663895
1426433308.042789,0.039078,-0.170761,-0.690125
1426433308.052611,0.031906,-0.159637,-0.723419
1426433308.062433,0.025940,-0.146927,-0.756958
1426433308.072256,0.023422,-0.135513,-0.790070
1426433308.082079,0.020721,-0.131393,-0.815811
1426433308.091913,0.017456,-0.130783,-0.833755
1426433308.101729,0.017593,-0.125168,-0.834534
1426433308.111552,0.005585,-0.120529,-0.818848
1426433308.121377,0.001877,-0.108810,-0.797714
1426433308.131201,-0.009094,-0.106125,-0.766968
1426433308.141024,-0.012375,-0.098282,-0.761139
1426433308.150847,0.001755,-0.092804,-0.781281
1426433308.160672,0.008545,-0.086166,-0.817154
1426433308.170497,0.022324,-0.078064,-0.856659
1426433308.180321,0.040115,-0.065308,-0.890549
1426433308.190146,0.054398,-0.059433,-0.902695
1426433308.199971,0.060333,-0.060211,-0.887497
1426433308.209793,0.067673,-0.070053,-0.858368
1426433308.219620,0.069489,-0.087555,-0.824554
1426433308.229441,0.073090,-0.101471,-0.797241
1426433308.239264,0.085556,-0.108871,-0.782059
1426433308.249089,0.090118,-0.114609,-0.784744
1426433308.258911,0.090195,-0.122009,-0.807205
1426433308.268743,0.089325,-0.123962,-0.857910
1426433308.278558,0.081406,-0.118347,-0.915421
1426433308.288376,0.065887,-0.119476,-0.960220
1426433308.298205,0.056473,-0.130753,-0.988754
1426433308.308022,0.058487,-0.150375,-1.014191
1426433308.317852,0.070343,-0.169113,-1.045822
1426433308.327677,0.087479,-0.163574,-1.114349
1426433308.337497,0.092087,-0.147430,-1.232239
1426433308.347306,0.102310,-0.131424,-1.385406
1426433308.357142,0.088364,-0.105637,-1.529800
1426433308.366956,0.062378,-0.060104,-1.649338
1426433308.376786,0.033386,-0.014664,-1.733398
1426433308.386606,0.024078,0.018188,-1.765610
1426433308.396441,0.021118,0.021133,-1.729828
1426433308.406260,0.032074,-0.007950,-1.609283
1426433308.416080,0.046112,-0.062347,-1.416336
1426433308.425915,0.047226,-0.137970,-1.242859
1426433308.435724,0.062531,-0.195877,-1.137192
1426433308.445536,0.086151,-0.236450,-1.064819
1426433308.455371,0.092346,-0.269424,-1.056259
1426433308.465183,0.087769,-0.243927,-1.111435
1426433308.475014,0.055191,-0.179153,-1.201202
1426433308.484825,0.008652,-0.111542,-1.297241
1426433308.494658,-0.028641,-0.068787,-1.357574
1426433308.504479,-0.060013,-0.053696,-1.367355
1426433308.514302,-0.080917,-0.061523,-1.311737
1426433308.524117,-0.087189,-0.083405,-1.199203
1426433308.533944,-0.081360,-0.114151,-1.058258
1426433308.543766,-0.066055,-0.135391,-0.940308
1426433308.553587,-0.050583,-0.148132,-0.855469
1426433308.563407,-0.040024,-0.166016,-0.792297
1426433308.573228,-0.031311,-0.179428,-0.755005
1426433308.583050,-0.024612,-0.185715,-0.739014
1426433308.592872,-0.021957,-0.184799,-0.730225
1426433308.602695,-0.025238,-0.177734,-0.725327
1426433308.612517,-0.024689,-0.170334,-0.728806
1426433308.622339,-0.029099,-0.163132,-0.731293
1426433308.632161,-0.040314,-0.162033,-0.724701
1426433308.641984,-0.051056,-0.162369,-0.709229
1426433308.651808,-0.062134,-0.164627,-0.697601
1426433308.661629,-0.063828,-0.161255,-0.685959
1426433308.671453,-0.073456,-0.149521,-0.685440
1426433308.681275,-0.093994,-0.145813,-0.711136
1426433308.691098,-0.106461,-0.143051,-0.747101
1426433308.700912,-0.117569,-0.139206,-0.797516
1426433308.710744,-0.113495,-0.128250,-0.846085
1426433308.720567,-0.105682,-0.122345,-0.898071
1426433308.730392,-0.109283,-0.121613,-0.934189
1426433308.740211,-0.116150,-0.119171,-0.971283
1426433308.750015,-0.124634,-0.120972,-0.998138
1426433308.759856,-0.136444,-0.110886,-1.008713
1426433308.769668,-0.145340,-0.093445,-1.008606
1426433308.779500,-0.150757,-0.077728,-0.999237
1426433308.789314,-0.145798,-0.075134,-0.982056
1426433308.799146,-0.133743,-0.075485,-0.958832
1426433308.808975,-0.114090,-0.089264,-0.919266
1426433308.818791,-0.093842,-0.108780,-0.861328
1426433308.828629,-0.081955,-0.130905,-0.796494
1426433308.838439,-0.073837,-0.141907,-0.741196
1426433308.848259,-0.074005,-0.148849,-0.686157
1426433308.858084,-0.072571,-0.159302,-0.634842
1426433308.867898,-0.066376,-0.173218,-0.599396
1426433308.877730,-0.061096,-0.184601,-0.563766
1426433308.887537,-0.057938,-0.179565,-0.541946
1426433308.897378,-0.055435,-0.177338,-0.538223
1426433308.907192,-0.048004,-0.168411,-0.560242
1426433308.917007,-0.032578,-0.164963,-0.622559
1426433308.926858,-0.026245,-0.163208,-0.702194
1426433308.936667,-0.034164,-0.166138,-0.768158
1426433308.946486,-0.042755,-0.171021,-0.828186
1426433308.956318,-0.045853,-0.155289,-0.894958
1426433308.966131,-0.042328,-0.122787,-0.985153
1426433308.975963,-0.055527,-0.081558,-1.094360
1426433308.985786,-0.075363,-0.040848,-1.225708
1426433308.995600,-0.078827,-0.019928,-1.372635
1426433309.005425,-0.068710,-0.007233,-1.509125
1426433309.015255,-0.046051,-0.005341,-1.609406
1426433309.025069,-0.015793,-0.016144,-1.658539
1426433309.034894,0.020569,-0.045670,-1.638336
1426433309.044720,0.057388,-0.114685,-1.554886
1426433309.054544,0.072250,-0.173660,-1.466721
1426433309.064368,0.071808,-0.194153,-1.387253
1426433309.074190,0.046860,-0.193359,-1.380676
1426433309.084015,0.031906,-0.174835,-1.456314
1426433309.093837,0.030106,-0.138718,-1.546432
1426433309.103659,0.021515,-0.119965,-1.574142
1426433309.113480,0.001648,-0.122711,-1.528152
1426433309.123306,0.004166,-0.146790,-1.411819
1426433309.133133,0.023621,-0.189392,-1.270370
1426433309.142958,0.038086,-0.232727,-1.137955
1426433309.152781,0.043335,-0.262573,-1.038559
1426433309.162606,0.040833,-0.285202,-0.967285
1426433309.172427,0.036240,-0.293777,-0.920959
1426433309.182257,0.019241,-0.286301,-0.890060
1426433309.192072,0.004883,-0.268478,-0.873260
1426433309.201893,-0.016449,-0.247742,-0.868896
1426433309.211716,-0.033157,-0.227951,-0.863922
1426433309.221540,-0.048828,-0.214294,-0.853668
1426433309.231362,-0.059418,-0.205063,-0.840973
1426433309.241185,-0.063507,-0.187775,-0.819168
1426433309.251008,-0.065018,-0.171890,-0.799408
1426433309.260828,-0.067352,-0.163010,-0.783142
1426433309.270650,-0.060074,-0.161453,-0.775070
1426433309.280473,-0.045074,-0.164352,-0.779709
1426433309.290294,-0.029129,-0.172440,-0.793091
1426433309.300114,-0.014801,-0.175583,-0.810776
1426433309.309922,0.002579,-0.178757,-0.828690
1426433309.319762,0.014145,-0.174225,-0.839600
1426433309.329574,0.016205,-0.170959,-0.849426
1426433309.339404,0.013168,-0.165970,-0.853729
1426433309.349228,0.004837,-0.156128,-0.844193
1426433309.359061,-0.009369,-0.149399,-0.828674
1426433309.368881,-0.019348,-0.143097,-0.805222
1426433309.378695,-0.025269,-0.134872,-0.781540
1426433309.388505,-0.030930,-0.128082,-0.756409
1426433309.398343,-0.035492,-0.123154,-0.743118
1426433309.408170,-0.041458,-0.120651,-0.741821
1426433309.417989,-0.039185,-0.113434,-0.758942
1426433309.427811,-0.043335,-0.125793,-0.774414
1426433309.437633,-0.039490,-0.131866,-0.805313
1426433309.447464,-0.032898,-0.130005,-0.838303
1426433309.457276,-0.030685,-0.132156,-0.861603
1426433309.467087,-0.028580,-0.134415,-0.881104
1426433309.476919,-0.026169,-0.130463,-0.893631
1426433309.486748,-0.026291,-0.127609,-0.893448
1426433309.496564,-0.022766,-0.129776,-0.885056
1426433309.506372,-0.021057,-0.136353,-0.873535
1426433309.516206,-0.010971,-0.146255,-0.872711
1426433309.526029,-0.002991,-0.166641,-0.882263
1426433309.535830,0.000168,-0.182968,-0.905807
1426433309.545657,-0.001419,-0.195862,-0.942810
1426433309.555490,-0.004639,-0.202316,-0.970352
1426433309.565312,-0.006760,-0.211792,-0.972412
1426433309.575133,-0.004959,-0.221039,-0.958115
1426433309.584957,0.007431,-0.219666,-0.950394
1426433309.594779,0.033813,-0.197144,-0.990967
