timestamp,x (in radians/s),y (in radians/s),z (in radians/s)
1426433598.012636,-0.216678,-0.020860,0.086175
1426433598.022641,-0.212231,-0.015762,0.107460
1426433598.032647,-0.205698,-0.012766,0.124470
1426433598.042656,-0.193862,-0.004414,0.135084
1426433598.052662,-0.176692,0.007112,0.144617
1426433598.062677,-0.157454,0.013341,0.149864
1426433598.072683,-0.142495,0.021765,0.150881
1426433598.082683,-0.134082,0.015417,0.141238
1426433598.092689,-0.131045,-0.003700,0.133708
1426433598.102673,-0.132201,-0.019659,0.132597
1426433598.112679,-0.140656,-0.022906,0.143274
1426433598.122711,-0.155358,-0.014503,0.164666
1426433598.132717,-0.174239,0.001329,0.191425
1426433598.142724,-0.192074,0.021466,0.212871
1426433598.152730,-0.200426,0.033098,0.226789
1426433598.162741,-0.203531,0.039436,0.234277
1426433598.172747,-0.208694,0.063921,0.238642
1426433598.182732,-0.210632,0.095853,0.241950
1426433598.192738,-0.206144,0.128772,0.249487
1426433598.202759,-0.187782,0.161572,0.261213
1426433598.212765,-0.164199,0.168740,0.277087
1426433598.222771,-0.149259,0.153603,0.291866
1426433598.232777,-0.155768,0.118414,0.300300
1426433598.242784,-0.170901,0.073759,0.301293
1426433598.252790,-0.189324,0.018524,0.296946
1426433598.262797,-0.209868,-0.022773,0.284139
1426433598.272803,-0.219682,-0.029930,0.258615
1426433598.282810,-0.213388,-0.005188,0.228858
1426433598.292816,-0.186776,0.025756,0.206471
1426433598.302822,-0.146258,0.053324,0.194650
1426433598.312828,-0.093028,0.070180,0.181665
1426433598.322843,-0.033593,0.065789,0.158999
1426433598.332849,0.021444,0.038013,0.134150
1426433598.342858,0.058441,0.011336,0.116845
1426433598.352864,0.077482,0.002807,0.106077
1426433598.362847,0.079584,0.008191,0.098632
1426433598.372853,0.076372,0.012520,0.093340
1426433598.382874,0.074230,0.017907,0.088045
1426433598.392880,0.080582,0.020061,0.081634
1426433598.402887,0.096502,0.017890,0.076224
1426433598.412893,0.121029,0.021989,0.078245
1426433598.422894,0.161512,0.018511,0.083354
1426433598.432900,0.211579,-0.000034,0.099012
1426433598.442911,0.257452,-0.026141,0.128505
1426433598.452917,0.288429,-0.053247,0.160198
1426433598.462925,0.295040,-0.067503,0.199506
1426433598.472931,0.263602,-0.057236,0.259311
1426433598.482938,0.197311,-0.017109,0.336419
1426433598.492944,0.117105,0.024264,0.402956
1426433598.502950,0.049287,0.043543,0.433164
1426433598.512956,0.010966,0.050184,0.430183
1426433598.522964,0.007600,0.055780,0.403605
1426433598.532970,0.046741,0.062308,0.365108
1426433598.542977,0.111428,0.057978,0.332835
1426433598.552983,0.169813,0.050358,0.314422
1426433598.562990,0.187871,0.051379,0.307948
1426433598.572996,0.155876,0.064495,0.292183
1426433598.583003,0.103411,0.060879,0.256238
1426433598.593009,0.055843,-0.012986,0.212587
1426433598.603015,0.031379,-0.114454,0.145310
1426433598.613021,0.041953,-0.204206,0.056607
1426433598.623028,0.094157,-0.273962,-0.032239
1426433598.633034,0.175460,-0.315382,-0.094523
1426433598.643041,0.263548,-0.324107,-0.126927
1426433598.653047,0.342474,-0.281849,-0.138891
1426433598.663053,0.407860,-0.203443,-0.135767
1426433598.673059,0.448927,-0.129399,-0.106986
1426433598.683066,0.456065,-0.051051,-0.062054
1426433598.693072,0.426912,0.007250,-0.014878
1426433598.703080,0.369925,0.047676,0.024926
1426433598.713086,0.290430,0.072337,0.056275
1426433598.723092,0.194835,0.090822,0.074909
1426433598.733098,0.092793,0.110488,0.085063
1426433598.743084,-0.018782,0.133365,0.099533
1426433598.753090,-0.136621,0.167912,0.122589
1426433598.763118,-0.244737,0.218309,0.153100
1426433598.773124,-0.344226,0.269589,0.197409
1426433598.783131,-0.426687,0.306846,0.250105
1426433598.793137,-0.489131,0.317453,0.293032
1426433598.803143,-0.509436,0.304799,0.292028
1426433598.813149,-0.459139,0.239062,0.229818
1426433598.823156,-0.339076,0.121030,0.136218
1426433598.833162,-0.174375,-0.014310,0.043404
1426433598.843182,-0.015768,-0.121041,-0.030125
1426433598.853188,0.093361,-0.158511,-0.076567
1426433598.863190,0.129474,-0.137167,-0.103290
1426433598.873196,0.088213,-0.080442,-0.107157
1426433598.883197,-0.010240,-0.008761,-0.080883
1426433598.893203,-0.138434,0.052281,-0.037462
1426433598.903192,-0.274073,0.116570,0.004941
1426433598.913198,-0.391712,0.172306,0.039776
1426433598.923211,-0.464833,0.200165,0.066845
1426433598.933217,-0.478527,0.194697,0.090315
1426433598.943231,-0.437111,0.153857,0.103814
1426433598.953237,-0.370296,0.089480,0.112851
1426433598.963236,-0.301320,0.038987,0.116600
1426433598.973242,-0.244077,-0.001764,0.110858
1426433598.983270,-0.209158,-0.029565,0.101012
1426433598.993276,-0.200733,-0.041288,0.096674
1426433599.003262,-0.217767,-0.042265,0.097820
1426433599.013268,-0.241246,-0.049565,0.095784
1426433599.023277,-0.255222,-0.075045,0.095770
1426433599.033283,-0.257481,-0.105959,0.099938
1426433599.043289,-0.252149,-0.113505,0.106274
1426433599.053295,-0.235166,-0.111392,0.097680
1426433599.063311,-0.199130,-0.112463,0.076206
1426433599.073317,-0.140771,-0.115762,0.051420
1426433599.083306,-0.070705,-0.120194,0.026572
1426433599.093312,-0.008035,-0.121438,0.007094
1426433599.103337,0.039886,-0.111003,0.000502
1426433599.113343,0.067637,-0.095167,-0.001713
1426433599.123350,0.077348,-0.073942,0.000437
1426433599.133356,0.068045,-0.042079,0.015491
1426433599.143362,0.053378,-0.010134,0.025250
1426433599.153368,0.056555,0.004879,0.012509
1426433599.163376,0.079744,-0.007823,-0.010004
1426433599.173382,0.119898,-0.035544,-0.031586
1426433599.183387,0.169588,-0.073979,-0.052185
1426433599.193393,0.224668,-0.110386,-0.065354
1426433599.203401,0.263119,-0.118264,-0.044280
1426433599.213407,0.254102,-0.082475,0.005915
1426433599.223414,0.194317,0.012143,0.060815
1426433599.233420,0.107986,0.138986,0.103178
1426433599.243426,0.019221,0.227632,0.131588
1426433599.253432,-0.050879,0.257836,0.134166
1426433599.263439,-0.089559,0.222049,0.112951
1426433599.273445,-0.092691,0.110762,0.057245
1426433599.283451,-0.044170,-0.039834,-0.040363
1426433599.293457,0.049968,-0.208708,-0.147839
