timestamp,x (in G's),y (in G's),z (in G's)
1426437952.214105,0.048004,-0.319626,-0.929565
1426437952.223932,0.048477,-0.323242,-0.917236
1426437952.233768,0.047424,-0.325226,-0.911011
1426437952.243588,0.047806,-0.320755,-0.907089
1426437952.253415,0.038406,-0.313126,-0.907028
1426437952.263241,0.026291,-0.303528,-0.910477
1426437952.273067,0.024353,-0.299850,-0.916046
1426437952.282893,0.021240,-0.300705,-0.917572
1426437952.292720,0.018051,-0.298523,-0.921890
1426437952.302547,0.005936,-0.291885,-0.912872
1426437952.312374,0.004257,-0.289307,-0.910645
1426437952.322202,0.005371,-0.296539,-0.919083
1426437952.332030,0.015701,-0.303589,-0.927231
1426437952.341859,0.022079,-0.308548,-0.917725
1426437952.351686,0.025543,-0.324463,-0.895508
1426437952.361505,0.044510,-0.340958,-0.888245
1426437952.371340,0.061081,-0.343658,-0.885681
1426437952.381169,0.088058,-0.352295,-0.821609
1426437952.390997,0.103760,-0.365402,-0.842743
1426437952.400826,0.118454,-0.410980,-0.800522
1426437952.410653,0.120483,-0.431305,-0.823486
1426437952.420482,0.123596,-0.437515,-0.809723
1426437952.430309,0.115906,-0.436386,-0.759583
1426437952.440135,0.098297,-0.446167,-0.700760
1426437952.449962,0.087448,-0.477936,-0.656860
1426437952.459787,0.056244,-0.505447,-0.620087
1426437952.469612,0.021591,-0.517258,-0.596237
1426437952.479439,0.003952,-0.472885,-0.661041
1426437952.489278,-0.031021,-0.430603,-0.725052
1426437952.499093,-0.051117,-0.401260,-0.794937
1426437952.508920,-0.076340,-0.378555,-0.855606
1426437952.518746,-0.102188,-0.364059,-0.922989
1426437952.528573,-0.127426,-0.344788,-0.990326
1426437952.538412,-0.154648,-0.317245,-1.047409
1426437952.548238,-0.191635,-0.296051,-1.082306
1426437952.558053,-0.237823,-0.274734,-1.087830
1426437952.567891,-0.276047,-0.258987,-1.075806
1426437952.577706,-0.297928,-0.260757,-1.058212
1426437952.587538,-0.298920,-0.276459,-1.044739
1426437952.597358,-0.281570,-0.304077,-1.034576
1426437952.607168,-0.246796,-0.335083,-1.040222
1426437952.617010,-0.191040,-0.362885,-1.054245
1426437952.626839,-0.145493,-0.403183,-1.076447
1426437952.636664,-0.107697,-0.445908,-1.104172
1426437952.646474,-0.076904,-0.486740,-1.126633
1426437952.656316,-0.045502,-0.520355,-1.131104
1426437952.666138,-0.008972,-0.554321,-1.134552
1426437952.675970,0.044128,-0.596893,-1.157272
1426437952.685785,0.089081,-0.646515,-1.220169
1426437952.695622,0.143478,-0.690399,-1.322952
1426437952.705438,0.200989,-0.717010,-1.443054
1426437952.715259,0.228790,-0.698425,-1.515076
1426437952.725090,0.230835,-0.643707,-1.519562
1426437952.734927,0.219803,-0.578094,-1.477844
1426437952.744752,0.204636,-0.521454,-1.412079
1426437952.754579,0.193115,-0.502045,-1.349152
1426437952.764406,0.180939,-0.502060,-1.281067
1426437952.774232,0.175507,-0.495346,-1.205719
1426437952.784059,0.178604,-0.469650,-1.152557
