timestamp,x (in G's),y (in G's),z (in G's)
1426438715.961107,0.087509,-0.274460,-0.952957
1426438715.970939,0.084839,-0.267075,-0.965820
1426438715.980759,0.082199,-0.258804,-0.967987
1426438715.990586,0.075867,-0.255371,-0.960999
1426438716.000414,0.073364,-0.258987,-0.952591
1426438716.010241,0.074661,-0.264526,-0.939056
1426438716.020068,0.070923,-0.271179,-0.930267
1426438716.029893,0.064896,-0.271820,-0.932465
1426438716.039718,0.057175,-0.267990,-0.932587
1426438716.049543,0.050949,-0.263962,-0.934479
1426438716.059369,0.052979,-0.261978,-0.937775
1426438716.069194,0.052887,-0.264114,-0.950943
1426438716.079019,0.050171,-0.265915,-0.957397
1426438716.088844,0.049194,-0.262909,-0.966263
1426438716.098669,0.043839,-0.257874,-0.952713
1426438716.108494,0.037628,-0.261368,-0.944092
1426438716.118319,0.037094,-0.263580,-0.931519
1426438716.128144,0.025040,-0.260971,-0.919296
1426438716.137971,0.022156,-0.259277,-0.913864
1426438716.147804,0.023331,-0.261047,-0.914398
1426438716.157620,0.018326,-0.261047,-0.916061
1426438716.167447,0.013443,-0.261658,-0.911163
1426438716.177274,0.006317,-0.267883,-0.904770
1426438716.187100,0.007263,-0.277908,-0.896561
1426438716.196927,-0.001923,-0.283218,-0.886124
1426438716.206753,-0.010849,-0.278748,-0.869644
1426438716.216578,-0.022583,-0.276718,-0.869354
1426438716.226405,-0.028458,-0.279358,-0.873901
1426438716.236231,-0.030594,-0.279922,-0.884033
1426438716.246057,-0.033768,-0.282928,-0.896408
1426438716.255883,-0.035370,-0.292282,-0.911224
1426438716.265712,-0.031281,-0.292404,-0.908569
1426438716.275535,-0.040451,-0.299088,-0.914719
1426438716.285350,-0.051682,-0.295380,-0.937637
1426438716.295183,-0.060623,-0.283035,-0.950607
1426438716.305016,-0.073639,-0.281387,-0.952438
1426438716.314834,-0.087738,-0.295685,-0.950684
1426438716.324644,-0.103775,-0.309845,-0.940643
1426438716.334484,-0.121109,-0.333588,-0.927841
1426438716.344310,-0.134888,-0.354553,-0.914825
1426438716.354137,-0.151901,-0.368317,-0.892242
1426438716.363963,-0.174850,-0.380692,-0.872543
1426438716.373787,-0.195709,-0.394363,-0.872528
1426438716.383618,-0.208069,-0.397659,-0.876221
1426438716.393439,-0.215118,-0.384171,-0.887741
1426438716.403246,-0.208099,-0.388748,-0.908844
1426438716.413089,-0.206314,-0.365601,-0.905334
1426438716.422905,-0.195267,-0.345688,-0.884827
1426438716.432738,-0.170441,-0.349091,-0.854828
1426438716.442555,-0.146973,-0.346878,-0.894760
1426438716.452403,-0.133911,-0.337524,-0.908707
1426438716.462209,-0.132141,-0.323334,-0.904816
1426438716.472046,-0.121170,-0.306549,-0.895691
1426438716.481872,-0.108307,-0.288864,-0.894348
1426438716.491710,-0.080948,-0.264343,-0.881927
1426438716.501507,-0.056702,-0.249832,-0.869781
1426438716.511344,-0.025284,-0.242462,-0.882507
1426438716.521190,0.018860,-0.225021,-0.910660
1426438716.531015,0.063477,-0.224808,-0.949615
1426438716.540821,0.095200,-0.232544,-0.975250
1426438716.550646,0.119537,-0.233765,-1.003845
1426438716.560464,0.136597,-0.230743,-1.026886
1426438716.570293,0.144180,-0.226837,-1.037231
1426438716.580118,0.142471,-0.217163,-1.036530
1426438716.589958,0.143860,-0.205139,-1.014038
1426438716.599773,0.146622,-0.193939,-0.983521
1426438716.609619,0.151688,-0.196457,-0.951782
1426438716.619427,0.177094,-0.204178,-0.938889
