timestamp,x (in radians/s),y (in radians/s),z (in radians/s)
1426437967.264765,0.449129,-0.262853,-0.410818
1426437967.274771,0.410895,0.032599,-0.320238
1426437967.284776,0.277347,0.341891,-0.170588
1426437967.294782,0.080747,0.559641,0.012077
1426437967.304786,-0.134751,0.645566,0.180565
1426437967.314792,-0.320578,0.582751,0.291997
1426437967.324799,-0.437213,0.439421,0.315529
1426437967.334805,-0.475373,0.358218,0.253710
1426437967.344818,-0.442880,0.388698,0.164226
1426437967.354824,-0.359590,0.490834,0.124758
1426437967.364822,-0.249871,0.618518,0.183179
1426437967.374828,-0.136203,0.772028,0.323635
1426437967.384842,-0.033067,0.930814,0.475870
1426437967.394848,0.047370,1.092304,0.581388
1426437967.404847,0.098692,1.246918,0.643382
1426437967.414853,0.135780,1.352795,0.687190
1426437967.424851,0.163643,1.347048,0.714710
1426437967.434857,0.177197,1.275502,0.726118
1426437967.444877,0.194912,1.180471,0.740622
1426437967.454883,0.248465,1.043880,0.735650
1426437967.464885,0.340737,0.767476,0.737478
1426437967.474891,0.458484,0.462079,0.748664
1426437967.484886,0.599829,0.238876,0.725938
1426437967.494892,0.734968,0.062650,0.694880
1426437967.504905,0.829201,-0.004767,0.670769
1426437967.514911,0.885402,0.087399,0.576047
1426437967.524916,0.918437,0.221184,0.486900
1426437967.534922,0.957305,0.351075,0.467970
1426437967.544928,1.028115,0.413243,0.495499
1426437967.554934,1.106930,0.380597,0.520548
1426437967.564940,1.130822,0.283652,0.508401
1426437967.574946,0.891654,0.014903,0.467196
1426437967.584947,0.325860,-0.079671,0.340896
1426437967.594953,-0.344280,-0.029983,0.115523
1426437967.604963,-0.915743,-0.105865,-0.069236
1426437967.614969,-1.287610,-0.076576,-0.122643
1426437967.624975,-1.538418,0.144855,-0.070634
1426437967.634981,-1.777328,0.346684,0.019575
1426437967.644986,-2.010732,0.423089,0.079538
1426437967.654992,-2.186893,0.346446,0.070584
1426437967.664999,-2.233396,0.157061,-0.034130
1426437967.675005,-2.080979,-0.141246,-0.230678
1426437967.685010,-1.726746,-0.466906,-0.474096
1426437967.695016,-1.240864,-0.665541,-0.715625
1426437967.705021,-0.713228,-0.673072,-0.918412
1426437967.715027,-0.219408,-0.525550,-1.053457
1426437967.725033,0.209437,-0.296412,-1.107006
1426437967.735039,0.537637,-0.079125,-1.084510
1426437967.745044,0.739900,0.029910,-1.025546
1426437967.755050,0.818805,-0.036085,-0.965477
1426437967.765056,0.790991,-0.324951,-0.923704
1426437967.775062,0.697952,-0.819735,-0.916345
1426437967.785068,0.565521,-1.435173,-0.965606
1426437967.795074,0.380010,-1.962589,-1.054767
1426437967.805079,0.127893,-1.995459,-1.140910
1426437967.815085,-0.189908,-1.435242,-1.170491
1426437967.825092,-0.582263,-0.535530,-1.014423
1426437967.835098,-0.997140,0.336101,-0.578361
1426437967.845103,-1.327999,0.853583,0.089256
1426437967.855109,-1.487559,0.810347,0.704148
1426437967.865113,-1.452758,0.317413,1.000430
1426437967.875119,-1.198351,-0.354013,0.890508
1426437967.885124,-0.738229,-0.921296,0.454153
1426437967.895130,-0.143327,-1.136353,-0.144593
1426437967.905143,0.490018,-0.876580,-0.634457
1426437967.915149,1.034411,-0.153779,-0.815773
1426437967.925132,1.332410,0.837935,-0.675618
1426437967.935138,1.300185,1.656728,-0.292734
1426437967.945153,0.977056,1.906607,0.173834
1426437967.955159,0.509272,1.503170,0.549561
1426437967.965171,0.070933,0.667719,0.752334
1426437967.975177,-0.186291,-0.282014,0.765407
1426437967.985190,-0.161456,-1.047780,0.636094
1426437967.995196,0.104802,-1.369148,0.443162
1426437968.005197,0.482130,-1.186098,0.226844
1426437968.015203,0.913549,-0.699164,0.053835
1426437968.025208,1.312269,-0.141945,0.014286
1426437968.035214,1.563731,0.342290,0.124267
1426437968.045220,1.544080,0.499800,0.373983
1426437968.055226,1.222680,0.293207,0.680430
1426437968.065232,0.665934,-0.035001,0.926973
1426437968.075238,0.044167,-0.377482,1.033274
1426437968.085243,-0.458446,-0.679518,0.957078
1426437968.095249,-0.753919,-0.826685,0.707902
1426437968.105255,-0.832030,-0.776964,0.341188
1426437968.115261,-0.708063,-0.546144,-0.040843
1426437968.125267,-0.513964,-0.135982,-0.284245
1426437968.135273,-0.468859,0.382690,-0.310448
1426437968.145279,-0.639112,0.869451,-0.209002
1426437968.155285,-0.929601,1.159813,-0.101214
1426437968.165290,-1.172920,1.163794,-0.035051
1426437968.175296,-1.189545,0.841215,-0.039219
1426437968.185302,-0.908601,0.307769,-0.114756
1426437968.195308,-0.387307,-0.202051,-0.245705
1426437968.205308,0.200649,-0.538321,-0.411547
1426437968.215314,0.676497,-0.599643,-0.525896
1426437968.225327,0.934808,-0.307392,-0.503870
1426437968.235333,0.977545,0.166298,-0.389690
1426437968.245342,0.880386,0.569486,-0.280366
1426437968.255348,0.708307,0.735865,-0.199123
1426437968.265357,0.523866,0.631095,-0.157030
1426437968.275363,0.395745,0.328077,-0.133964
1426437968.285353,0.338600,-0.024210,-0.125253
1426437968.295359,0.307164,-0.307156,-0.144121
1426437968.305363,0.260326,-0.430991,-0.197520
1426437968.315369,0.191338,-0.321518,-0.243657
1426437968.325370,0.069599,0.003936,-0.233468
1426437968.335376,-0.138134,0.433290,-0.120314
1426437968.345390,-0.462517,0.813408,0.090134
1426437968.355396,-0.846878,1.002414,0.386481
1426437968.365407,-1.134415,0.972512,0.683758
1426437968.375413,-1.195660,0.783535,0.882512
1426437968.385419,-0.999582,0.538032,0.931829
1426437968.395425,-0.584953,0.339432,0.842884
1426437968.405430,-0.061553,0.275075,0.682513
1426437968.415436,0.468194,0.405582,0.522749
1426437968.425436,0.923773,0.671943,0.458543
1426437968.435442,1.190105,0.984874,0.541276
1426437968.445454,1.204503,1.255857,0.709224
1426437968.455460,1.024130,1.339451,0.877530
1426437968.465474,0.786559,1.158735,0.986704
1426437968.475480,0.622885,0.735301,1.038295
1426437968.485465,0.560367,0.196836,1.028326
1426437968.495471,0.590274,-0.289370,0.954195
1426437968.505485,0.672880,-0.608226,0.833510
1426437968.515491,0.773665,-0.657392,0.677424
1426437968.525505,0.889562,-0.461667,0.519936
1426437968.535511,0.994040,-0.117498,0.439638
1426437968.545513,1.024637,0.185538,0.474544
1426437968.555519,0.869740,0.300173,0.610888
1426437968.565531,0.418142,0.074610,0.750789
1426437968.575537,-0.288020,-0.414709,0.781448
1426437968.585536,-1.056381,-0.966091,0.655725
1426437968.595542,-1.683272,-1.402326,0.430673
1426437968.605547,-2.008601,-1.554626,0.179500
1426437968.615553,-1.956092,-1.361037,-0.051132
1426437968.625559,-1.614994,-0.894182,-0.185434
1426437968.635565,-1.202360,-0.383231,-0.183687
1426437968.645571,-0.881430,-0.035609,-0.086210
1426437968.655577,-0.753273,0.133353,-0.011777
1426437968.665582,-0.801419,0.162870,-0.062538
1426437968.675588,-0.845896,0.048649,-0.233017
1426437968.685599,-0.687970,-0.171660,-0.459144
1426437968.695605,-0.276448,-0.375444,-0.673705
1426437968.705607,0.229926,-0.457939,-0.820212
1426437968.715613,0.630303,-0.380957,-0.871988
1426437968.725612,0.810654,-0.136204,-0.847601
1426437968.735618,0.741528,0.165877,-0.763232
1426437968.745629,0.474196,0.397478,-0.650429
1426437968.755635,0.119868,0.477221,-0.531303
1426437968.765641,-0.190719,0.416430,-0.444791
1426437968.775647,-0.329615,0.282753,-0.414730
1426437968.785652,-0.242335,0.086366,-0.424325
1426437968.795658,-0.004230,-0.136157,-0.465628
1426437968.805664,0.263697,-0.291322,-0.552635
1426437968.815670,0.480109,-0.311936,-0.645332
1426437968.825676,0.633895,-0.149378,-0.697728
1426437968.835682,0.699632,0.187758,-0.686305
1426437968.845687,0.602448,0.627429,-0.605604
1426437968.855693,0.309714,1.020598,-0.443176
1426437968.865700,-0.137612,1.225159,-0.176271
1426437968.875706,-0.642509,1.108792,0.162258
1426437968.885711,-1.038675,0.681274,0.450257
1426437968.895717,-1.173911,0.125129,0.552369
1426437968.905722,-1.028855,-0.296541,0.453391
1426437968.915728,-0.691613,-0.433744,0.226643
1426437968.925735,-0.290577,-0.329180,-0.039019
1426437968.935741,0.088402,-0.091131,-0.215776
1426437968.945746,0.316369,0.308902,-0.197504
1426437968.955752,0.303918,0.752666,-0.038436
1426437968.965757,0.080912,1.000318,0.151910
1426437968.975763,-0.203665,0.952739,0.289433
1426437968.985754,-0.378160,0.672975,0.359646
1426437968.995760,-0.334187,0.320147,0.363593
1426437969.005789,-0.073152,0.037006,0.298557
1426437969.015795,0.285335,-0.090878,0.199478
1426437969.025779,0.635006,-0.058866,0.091386
1426437969.035785,0.937000,0.136880,0.042619
1426437969.045799,1.137039,0.418383,0.110675
